Date,Runner,Time
25/02/2021 00:00,artfulinfo,01:33:26
28/02/2021 00:00,artfulinfo,01:25:42
04/03/2021 00:00,artfulinfo,01:24:20
10/03/2021 00:00,artfulinfo,01:22:49
14/03/2021 00:00,artfulinfo,01:21:14
21/03/2021 00:00,artfulinfo,01:20:54
04/04/2021 00:00,artfulinfo,01:20:16
05/04/2021 00:00,artfulinfo,01:20:14
05/04/2021 00:00,artfulinfo,01:19:13
11/04/2021 00:00,artfulinfo,01:18:08
25/04/2021 00:00,artfulinfo,01:17:22
28/04/2021 00:00,artfulinfo,01:16:38
01/05/2021 00:00,artfulinfo,01:16:03
04/05/2021 00:00,artfulinfo,01:15:31
11/05/2021 00:00,artfulinfo,01:14:37
28/05/2021 00:00,InverseDesire,01:33:11
07/06/2021 00:00,InverseDesire,01:24:19
16/06/2021 00:00,InverseDesire,01:21:32
25/06/2021 00:00,InverseDesire,01:19:53
29/06/2021 00:00,InverseDesire,01:18:13
10/07/2021 00:00,artfulinfo,01:14:13
18/07/2021 00:00,artfulinfo,01:13:45
21/07/2021 00:00,InverseDesire,01:17:19
04/08/2021 00:00,InverseDesire,01:16:25
07/08/2021 00:00,artfulinfo,01:13:08
22/08/2021 00:00,InverseDesire,01:15:45
28/08/2021 00:00,artfulinfo,01:12:46
20/10/2021 00:00,InverseDesire,01:15:09
21/10/2021 00:00,InverseDesire,01:14:26
24/10/2021 00:00,InverseDesire,01:13:54
26/10/2021 00:00,InverseDesire,01:13:46
28/10/2021 00:00,InverseDesire,01:13:37
01/11/2021 00:00,InverseDesire,01:12:59
09/11/2021 00:00,InverseDesire,01:12:55
11/11/2021 00:00,InverseDesire,01:12:17
13/11/2021 00:00,artfulinfo,01:11:53
15/11/2021 00:00,InverseDesire,01:12:10
18/11/2021 00:00,InverseDesire,01:11:57
